Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5045.1yr.F	5045	A	1yr	367	5.905361848	F	F	F	N	1527.964539	5.379464	0.91	331.12		4	6	0	0	18		
5045.1yr.L1	5045	A	1yr	367	5.905361848	L1	L	F	Y	2878.716418	5.803966	0.91	331.12		4	6	0	0	18		
5045.1yr.L2	5045	A	1yr	368	5.908082938	L2	L	F	Y	2067.736842	5.549517	0.91	331.12		4	6	0	0	18		
5045.1yr.L3	5045	A	1yr	369	5.910796644	L3	L	F	Y	1801.8159	5.155451	0.91	331.12		4	6	0	0	18		
5045.1yr.S1	5045	A	1yr	367	5.905361848	S1	S	F	Y	2226.32	5.923681	0.91	331.12		4	6	0	0	18		
5045.1yr.S2	5045	A	1yr	368	5.908082938	S2	S	F	Y	1894.071429	5.595461	0.91	331.12		4	6	0	0	18		
5045.1yr.S3	5045	A	1yr	369	5.910796644	S3	S	F	Y	1896.447368	5.659782	0.91	331.12		4	6	0	0	18		
5045.2w.F	5045	A	2w	14	2.63905733	F	F	F	N	150.75	1.146324	0.91	8.16	220	4	6	0	0	10		
5045.2yr.F	5045	A	2yr	868	6.766191715	F	F	F	N	1032.774194	5.090314	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.L1	5045	A	2yr	867	6.765038977	L1	L	F	Y	2036.714286	5.199533	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.L2	5045	A	2yr	868	6.766191715	L2	L	F	Y	1781.927602	5.365924	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.L3	5045	A	2yr	869	6.767343125	L3	L	F	Y	1719.114754	5.500748	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.S1	5045	A	2yr	867	6.765038977	S1	S	F	Y	1688.530612	4.88748	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.S2	5045	A	2yr	868	6.766191715	S2	S	F	Y	1472.81768	4.538463	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.S3	5045	A	2yr	869	6.767343125	S3	S	F	Y	1578.623529	5.039109	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.4w.F	5045	A	4w	25	3.218875825	F	F	F	N	362.2	2.801479	1.83	42.18	722	4	6	0	0	10		
5045.8w.F	5045	A	8w	55	4.007333185	F	F	F	N	386.459459	3.302132	0.9	47.63	23464	4	6	0	0	10		
5046.1yr.F	5046	A	1yr	367	5.905361848	F	F	F	N	1767.269231	5.595954	0.85	311.16		0	5	0	0	24		
5046.2w.F	5046	A	2w	14	2.63905733	F	F	F	N	164.055556	2.094697	1.26	11.34	350	0	5	0	0	5		
5046.2yr.F	5046	A	2yr	867	6.765038977	F	F	F	N	1467.994318	5.72784	0.6	524.35		0	5	0	0	24	6.77	9.31
5046.4w.F	5046	A	4w	25	3.218875825	F	F	F	N	424.956522	3.293067	1.77	40.82	3494	0	5	0	0	5		
5047.1yr.F	5047	C	1yr	364	5.897153868	F	F	F	N	1358.831522	5.362754	1.07	390.85		2	0	0	0	10		
5047.1yr.L1	5047	C	1yr	364	5.897153868	L1	L	F	Y	2146.531088	5.904984	1.07	390.85		2	0	0	0	10		
5047.1yr.L2	5047	C	1yr	365	5.899897354	L2	L	F	Y	2223.155963	5.632288	1.07	390.85		2	0	0	0	10		
5047.1yr.L3	5047	C	1yr	366	5.902633333	L3	L	F	Y	2020.760943	5.342983	1.07	390.85		2	0	0	0	10		
5047.1yr.S1	5047	C	1yr	364	5.897153868	S1	S	F	Y	2166.851485	5.977812	1.07	390.85		2	0	0	0	10		
