Animal	Diet	Day	Intake
4954	B	50	697
4954	B	51	423
4954	B	52	548
4954	B	53	1000
4954	B	54	1000
4973	B	1	27
4973	B	2	35
4973	B	3	36
4973	B	4	35
4973	B	5	15
4973	B	6	51
4973	B	7	38
4973	B	8	60
4973	B	9	35
4973	B	10	43
4973	B	11	27
4973	B	12	32
4973	B	13	50
4973	B	14	54
4973	B	15	54
4973	B	16	76
4973	B	17	62
4973	B	18	156
4973	B	19	74
4973	B	20	101
4973	B	21	140
4973	B	22	198
4973	B	23	108
4973	B	24	
4973	B	25	156
4973	B	26	214
4973	B	27	273
4973	B	28	232
4973	B	29	395
4973	B	30	479
4973	B	31	320
4973	B	32	558
4973	B	33	497
4973	B	34	923
4973	B	35	827
4973	B	36	704
4973	B	37	1103
4973	B	38	701
4973	B	39	171
4973	B	40	
4973	B	41	108
4973	B	42	
4973	B	43	189
4973	B	44	231
4973	B	45	530
4973	B	46	529
4973	B	47	480
4973	B	48	204
4973	B	49	
4973	B	50	1311
4973	B	51	1112
4973	B	52	1493
4973	B	53	1488
4973	B	54	2000
4973	B	55	1333
4973	B	56	2000
4973	B	57	2239
4973	B	58	1242
4973	B	59	2750
5015	B	1	40
5015	B	2	34
5015	B	3	49
5015	B	4	42
5015	B	5	35
5015	B	6	27
5015	B	7	29
5015	B	8	36
5015	B	9	34
5015	B	10	37
5015	B	11	30
5015	B	12	39
5015	B	13	46
5015	B	14	39
5015	B	15	40
5015	B	16	63
5015	B	17	106
5015	B	18	104
5015	B	19	105
5015	B	20	61
5015	B	21	79
5015	B	22	70
5015	B	23	69
5015	B	24	70
5015	B	25	97
5015	B	26	109
5015	B	27	90
5015	B	28	83
5015	B	29	98
5015	B	30	116
5015	B	31	64
5015	B	32	73
5015	B	33	153
5015	B	34	176
5015	B	35	112
5015	B	36	291
5015	B	37	119
5015	B	38	193
5015	B	39	274
5015	B	40	283
5015	B	41	308
5015	B	42	130
5015	B	43	423
5015	B	44	210
5015	B	45	424
5015	B	46	362
5015	B	47	538
5015	B	48	446
5015	B	49	309
5015	B	50	434
5015	B	51	682
5015	B	52	807
5015	B	53	1132
5015	B	54	1013
5015	B	55	1500
5015	B	56	1500
5015	B	57	1500
5022	B	1	58
5022	B	2	48
5022	B	3	140
5022	B	4	43
5022	B	5	51
5022	B	6	50
5022	B	7	56
5022	B	8	53
5022	B	9	77
5022	B	10	91
5022	B	11	86
5022	B	12	146
5022	B	13	70
5022	B	14	
5022	B	15	83
5022	B	16	65
5022	B	17	56
5022	B	18	78
5022	B	19	72
5022	B	20	104
5022	B	21	100
5022	B	22	42
5022	B	23	225
5022	B	24	85
5022	B	25	89
5022	B	26	78
5022	B	27	103
5022	B	28	113
5022	B	29	262
5022	B	30	168
5022	B	31	150
5022	B	32	108
5022	B	33	227
5022	B	34	114
5022	B	35	111
5022	B	36	142
5022	B	37	212
5022	B	38	144
5022	B	39	120
5022	B	40	240
5022	B	41	148
5022	B	42	88
5022	B	43	115
5022	B	44	290
5022	B	45	380
5022	B	46	310
5022	B	47	304
5022	B	48	649
5022	B	49	443
5022	B	50	670
5022	B	51	742
5022	B	52	
5022	B	53	
5022	B	54	347
5022	B	55	370
5022	B	56	312
5022	B	57	381
5022	B	58	1000
5027	B	1	100
5027	B	2	30
5027	B	3	33
5027	B	4	10
5027	B	5	30
5027	B	6	33
5027	B	7	17
5027	B	8	32
5027	B	9	34
5027	B	10	28
5027	B	11	29
5027	B	12	25
5027	B	13	20
