Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5035.2yr.F	5035	C	2yr	841	6.73459166	F	F	F	N	15.857143	1.831112	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.L1	5035	C	2yr	840	6.733401892	L1	L	F	N	32.333333	2.268901	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.L2	5035	C	2yr	841	6.73459166	L2	L	F	N	21.5	2.016719	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.L3	5035	C	2yr	842	6.735780014	L3	L	F	N	28	1.947123	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.S1	5035	C	2yr	840	6.733401892	S1	S	F	N	18.5	1.739022	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.S2	5035	C	2yr	841	6.73459166	S2	S	F	N	17.75	1.526696	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.S3	5035	C	2yr	842	6.735780014	S3	S	F	N	23.5	1.612079	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.4w.F	5035	C	4w	25	3.218875825	F	F	F	N	7.5	0.478016	0.77	17.69	5238	0	0	0	0	0		
5035.8w.F	5035	C	8w	54	3.988984047	F	F	F	N	8	0.361864	1.55	80.74	45254	0	0	0	0	0		
5037.1yr.F	5037	A	1yr	358	5.880532986	F	F	F	N	19.25	1.731594	0.94	343.52		18	6	0	0	24		
5037.2yr.F	5037	A	2yr	841	6.73459166	F	F	F	N	14	1.785969	0.62	527.23		18	6	0	0	24	7.19	9.28
5037.4w.F	5037	A	4w	25	3.218875825	F	F	F	N	2	0.056465	0.18	4.08	1814	11	6	0	0	17		
5037.8w.F	5037	A	8w	54	3.988984047	F	F	F	N	3	0.440988	0.95	49.44	21823	15	6	0	0	21		
5038.1yr.F	5038	C	1yr	358	5.880532986	F	F	F	N	23.5	1.189818	0.97	352.89		16	0	0	0	16		
5038.2w.F	5038	C	2w	11	2.397895273	F	F	F	N	3	0.150231	1.26	11.34	155	5	0	0	0	5		
5038.2yr.F	5038	C	2yr	839	6.732210706	F	F	F	N	11	1.785534	0.68	572.13		16	0	0	0	16	4.11	8.9
5038.4w.F	5038	C	4w	25	3.218875825	F	F	F	N	3	0.155082	0.89	20.41	572	5	0	0	0	5		
5038.8w.F	5038	C	8w	54	3.988984047	F	F	F	N	2	0.098824	1.2	62.6	35465	16	0	0	0	16		
5039.1yr.F	5039	B	1yr	370	5.913503006	F	F	F	N	23.5	2.223456	0.89	325.53		17	0	0	0	22		
5039.2w.F	5039	B	2w	16	2.772588722	F	F	F	Y	6.5	0.48213	0.41	4.08	578	9	0	0	0	9		
5039.2yr.F	5039	B	2yr	941	6.84694314	F	F	F	N	11.333333	1.906801	0.71	665.72		17	0	0	0	22	4.03	5.32
5039.4w.F	5039	B	4w	25	3.218875825	F	F	F	Y	3	0.418838	1.01	23.13	1282	16	0	0	0	16		
5039.8w.F	5039	B	8w	54	3.988984047	F	F	F	N	4	0.499421	0.96	49.9	15829	17	0	0	0	17		
5041.1yr.F	5041	A	1yr	364	5.897153868	F	F	F	N	15	2.184413	0.93	339.44		9	0	0	0	17		
5041.2w.F	5041	A	2w	11	2.397895273	F	F	F	Y	1	0	1.11	9.98	663	5	0	0	0	5		
5041.2yr.F	5041	A	2yr	843	6.736966958	F	F	F	N	13.142857	1.944736	0.73	620.29		9	0	0	0	17	4.13	6.94
5041.4w.F	5041	A	4w	25	3.218875825	F	F	F	N	5	0.649492	1.89	43.54	3714	9	0	0	0	9		
5041.8w.F	5041	A	8w	54	3.988984047	F	F	F	N	6.5	0.258874	1.35	70.31	40554	9	0	0	0	9		
5042.1yr.F	5042	C	1yr	363	5.894402834	F	F	F	N	12.5	1.379695	0.86	312.52		0	0	0	0	13		
5042.2w.F	5042	C	2w	12	2.48490665	F	F	F	N	2	0.131692	1.22	12.25	111	0	0	0	0	0		
5042.2yr.F	5042	C	2yr	838	6.7310181	F	F	F	N	16	2.031382	0.69	581.28		0	0	0	0	13	3.6	5.9
5042.4w.F	5042	C	4w	27	3.295836866	F	F	F	N	11	1.108033	0.71	17.69	1805	0	0	0	0	0		
5042.8w.F	5042	C	8w	53	3.970291914	F	F	F	N	4.5	0.211235	1.29	65.77	32246	0	0	0	0	0		
5044.1yr.F	5044	B	1yr	369	5.910796644	F	F	F	N	10.5	1.556459	0.99	358.94		10	0	0	0	18		
5044.2w.F	5044	B	2w	11	2.397895273	F	F	F	Y	6.5	0.729722	1.06	9.53	424	3	0	0	0	3		
5044.2yr.F	5044	B	2yr	948	6.854354502	F	F	F	N	12.5	2.059308	0.66	625.81		10	0	0	0	18	5.15	6.38
5044.4w.F	5044	B	4w	25	3.218875825	F	F	F	N	11	1.205007	1.03	23.59	2839	10	0	0	0	10		
5044.8w.F	5044	B	8w	53	3.970291914	F	F	F	N	12.5	0.91466	1.01	51.26	27243	10	0	0	0	10		
5045.1yr.F	5045	A	1yr	367	5.905361848	F	F	F	N	14	1.742807	0.91	331.12		4	6	0	0	18		
5045.1yr.L1	5045	A	1yr	367	5.905361848	L1	L	F	Y	25.6	2.278042	0.91	331.12		4	6	0	0	18		
5045.1yr.L2	5045	A	1yr	368	5.908082938	L2	L	F	Y	31.5	2.537779	0.91	331.12		4	6	0	0	18		
5045.1yr.L3	5045	A	1yr	369	5.910796644	L3	L	F	Y	36.2	2.409555	0.91	331.12		4	6	0	0	18		
5045.1yr.S1	5045	A	1yr	367	5.905361848	S1	S	F	Y	19	2.21772	0.91	331.12		4	6	0	0	18		
5045.1yr.S2	5045	A	1yr	368	5.908082938	S2	S	F	Y	19.666667	2.180721	0.91	331.12		4	6	0	0	18		
5045.1yr.S3	5045	A	1yr	369	5.910796644	S3	S	F	Y	22.111111	2.259063	0.91	331.12		4	6	0	0	18		
5045.2w.F	5045	A	2w	14	2.63905733	F	F	F	N	12.166667	1.93946	0.91	8.16	220	4	6	0	0	10		
5045.2yr.F	5045	A	2yr	868	6.766191715	F	F	F	N	15.25	2.24526	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.L1	5045	A	2yr	867	6.765038977	L1	L	F	Y	22	2.35051	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.L2	5045	A	2yr	868	6.766191715	L2	L	F	Y	54	2.349832	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.L3	5045	A	2yr	869	6.767343125	L3	L	F	Y	28	2.441949	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.S1	5045	A	2yr	867	6.765038977	S1	S	F	Y	18.2	2.224286	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.S2	5045	A	2yr	868	6.766191715	S2	S	F	Y	16.5	2.170502	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.2yr.S3	5045	A	2yr	869	6.767343125	S3	S	F	Y	18.6	2.401172	0.7	610.84		4	6	0	0	18	2.92	3.62
5045.4w.F	5045	A	4w	25	3.218875825	F	F	F	N	7.25	0.646268	1.83	42.18	722	4	6	0	0	10		
5045.8w.F	5045	A	8w	55	4.007333185	F	F	F	N	7.75	0.434645	0.9	47.63	23464	4	6	0	0	10		
5046.1yr.F	5046	A	1yr	367	5.905361848	F	F	F	N	16.75	2.068878	0.85	311.16		0	5	0	0	24		
5046.2w.F	5046	A	2w	14	2.63905733	F	F	F	N	2	0.096509	1.26	11.34	350	0	5	0	0	5		
5046.2yr.F	5046	A	2yr	867	6.765038977	F	F	F	N	17	1.634381	0.6	524.35		0	5	0	0	24	6.77	9.31
5046.4w.F	5046	A	4w	25	3.218875825	F	F	F	N	4	0.933764	1.77	40.82	3494	0	5	0	0	5		
5047.1yr.F	5047	C	1yr	364	5.897153868	F	F	F	N	24.5	2.339813	1.07	390.85		2	0	0	0	10		
5047.1yr.L1	5047	C	1yr	364	5.897153868	L1	L	F	Y	47.75	2.512039	1.07	390.85		2	0	0	0	10		
5047.1yr.L2	5047	C	1yr	365	5.899897354	L2	L	F	Y	22.2	2.222578	1.07	390.85		2	0	0	0	10		
5047.1yr.L3	5047	C	1yr	366	5.902633333	L3	L	F	Y	33.25	2.439662	1.07	390.85		2	0	0	0	10		
5047.1yr.S1	5047	C	1yr	364	5.897153868	S1	S	F	Y	21.333333	2.34046	1.07	390.85		2	0	0	0	10		
5047.1yr.S2	5047	C	1yr	365	5.899897354	S2	S	F	Y	31.142857	2.633523	1.07	390.85		2	0	0	0	10		
5047.1yr.S3	5047	C	1yr	366	5.902633333	S3	S	F	Y	25.2	2.429849	1.07	390.85		2	0	0	0	10		
5047.2w.F	5047	C	2w	11	2.397895273	F	F	F	N	4	0.583655	1.66	14.97	174	0	0	0	0	0		
5047.2yr.F	5047	C	2yr	882	6.782192056	F	F	F	N	17.5	2.27032	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.L1	5047	C	2yr	881	6.781057626	L1	L	F	Y	23.625	2.38446	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.L2	5047	C	2yr	882	6.782192056	L2	L	F	Y	33	2.421349	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.L3	5047	C	2yr	883	6.783325201	L3	L	F	Y	60	2.303525	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.S1	5047	C	2yr	881	6.781057626	S1	S	F	Y	22.666667	1.991313	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.S2	5047	C	2yr	882	6.782192056	S2	S	F	Y	18	1.739814	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.S3	5047	C	2yr	883	6.783325201	S3	S	F	Y	35	2.056258	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.4w.F	5047	C	4w	26	3.258096538	F	F	F	N	7.25	0.53508	1.8	43.09	2666	2	0	0	0	2		
5047.8w.F	5047	C	8w	55	4.007333185	F	F	F	N	9	1.623826	1.49	78.93	48381	2	0	0	0	2		
5048.1yr.F	5048	B	1yr	363	5.894402834	F	F	F	N	15.2	2.192522	0.92	336.57		0	0	0	0	8		
5048.1yr.L1	5048	B	1yr	363	5.894402834	L1	L	F	N	29.142857	2.601077	0.92	336.57		0	0	0	0	8		
5048.1yr.L2	5048	B	1yr	364	5.897153868	L2	L	F	N	39.5	2.519804	0.92	336.57		0	0	0	0	8		
5048.1yr.L3	5048	B	1yr	365	5.899897354	L3	L	F	N	28.625	2.860835	0.92	336.57		0	0	0	0	8		
5048.1yr.S1	5048	B	1yr	363	5.894402834	S1	S	F	N	46	2.215528	0.92	336.57		0	0	0	0	8		
5048.1yr.S2	5048	B	1yr	364	5.897153868	S2	S	F	N	36.75	2.377383	0.92	336.57		0	0	0	0	8		
5048.1yr.S3	5048	B	1yr	365	5.899897354	S3	S	F	N	24	2.503183	0.92	336.57		0	0	0	0	8		
5048.2w.F	5048	B	2w	14	2.63905733	F	F	F	N	7	1.130849	1.11	9.98	420	0	0	0	0	0		
5048.2yr.F	5048	B	2yr	857	6.753437919	F	F	F	N	20.5	2.521961	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.L1	5048	B	2yr	856	6.752270376	L1	L	F	N	29	2.581741	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.L2	5048	B	2yr	857	6.753437919	L2	L	F	N	25.6	2.446076	0.55	473.4		0	0	0	9	17	5.15	8.24
