Animal	Diet	AgeExact	Wt	Age_norm	Wt_norm
5058	A	53	90.26	51	54.43
5063	A	54	95.25	52	51.26
5017	A	366	368.92	364	321.29
5020	A	366	430.91	364	387.82
5026	A	366	401.43	364	356.98
5031	A	366	356.07	364	311.62
5037	A	366	389.33	364	343.52
5041	A	366	402.94	364	339.44
5045	A	366	376.48	364	331.12
5046	A	366	347	364	311.16
5049	A	366	357.58	364	314.49
5053	A	366	390.85	364	339.14
5058	A	366	377.24	364	341.4
5063	A	366	358.34	364	314.34
5017	A	925	530.7	923	483.08
5020	A	890	669.05	888	625.96
5026	A	798	576.06	796	531.61
5031	A	838	544.31	836	499.86
5037	A	836	573.79	834	527.98
5041	A	838	668.29	836	604.79
5045	A	863	661.49	861	616.13
5046	A	862	558.67	860	522.84
5049	A	862	610.08	860	566.99
5053	A	822	546.58	820	494.87
5058	A	747	593.07	745	557.24
5063	A	857	611.59	855	567.59
5017	A	935	522.76	933	475.14
5020	A	900	674.72	898	631.63
5026	A	808	591.94	806	547.49
5031	A	848	576.06	846	531.61
5037	A	846	573.04	844	527.23
5041	A	848	683.79	846	620.29
5045	A	873	656.2	871	610.84
5046	A	872	560.19	870	524.35
5049	A	872	639.56	870	596.47
5053	A	832	545.82	830	494.11
5058	A	757	602.52	755	566.69
5063	A	867	623.69	865	579.69
4925	B	2	54.88	0	0
4954	B	2	44.91	0	0
4973	B	2	48.53	0	0
5015	B	2	39.46	0	0
5022	B	2	39.46	0	0
5027	B	2	43.54	0	0
5032	B	2	39.46	0	0
5034	B	2	38.56	0	0
5039	B	2	33.57	0	0
5044	B	2	46.27	0	0
5048	B	2	55.79	0	0
5050	B	2	46.72	0	0
5052	B	2	44.45	0	0
5057	B	2	38.1	0	0
5062	B	2	43.09	0	0
4925	B	17	66.22	15	11.34
4954	B	12	58.97	10	14.06
4973	B	11	51.71	9	3.18
5015	B	16	58.97	14	19.5
5022	B	13	49.9	11	10.43
5027	B	11	56.7	9	13.15
5032	B	13	48.99	11	9.53
5034	B	12	48.08	10	9.53
5039	B	12	37.65	10	4.08
5044	B	11	55.79	9	9.53
5048	B	11	65.77	9	9.98
5050	B	11	54.43	9	7.71
5052	B	13	45.36	11	0.91
5057	B	11	52.62	9	14.51
5062	B	15	56.7	13	13.61
4925	B	27	75.75	25	20.87
4954	B	25	71.67	23	26.76
4973	B	27	76.2	25	27.67
5015	B	25	61.23	23	21.77
5022	B	27	64.86	25	25.4
5027	B	25	65.32	23	21.77
5032	B	26	59.42	24	19.96
5034	B	25	57.15	23	18.6
5039	B	25	56.7	23	23.13
5044	B	25	69.85	23	23.59
5048	B	25	89.81	23	34.02
5050	B	27	69.85	25	23.13
5052	B	25	65.32	23	20.87
5057	B	25	70.31	23	32.21
5062	B	29	64.41	27	21.32
4925	B	54	117.93	52	63.05
4954	B	55	107.05	53	62.14
4973	B	55	103.42	53	54.88
5015	B	55	101.6	53	62.14
5022	B	54	99.79	52	60.33
5027	B	53	99.79	51	56.25
5032	B	53	107.05	51	67.59
5034	B	53	99.79	51	61.23
5039	B	54	83.46	52	49.9
5044	B	53	97.52	51	51.26
5048	B	54	113.4	52	57.61
5050	B	53	110.68	51	63.96
5052	B	57	95.25	55	50.8
5057	B	53	100.24	51	62.14
5062	B	55	100.7	53	57.61
5015	B	366	371.95	364	332.48
5022	B	366	403.7	364	364.23
5027	B	366	376.48	364	332.94
5032	B	366	368.17	364	328.7
5034	B	366	357.58	364	319.03
5039	B	366	359.09	364	325.53
5044	B	366	405.21	364	358.94
5048	B	366	392.36	364	336.57
5050	B	366	336.41	364	289.69
5052	B	366	353.8	364	309.35
5057	B	366	390.09	364	351.99
5062	B	366	371.95	364	328.85
5015	B	822	574.55	820	535.09
5022	B	800	593.07	798	553.61
5027	B	888	622.18	886	578.63
5032	B	831	621.42	829	581.96
5034	B	845	576.06	843	537.51
5039	B	936	700.8	934	667.23
5044	B	944	673.58	942	627.32
5048	B	852	523.14	850	467.35
5050	B	837	595.34	835	548.62
5052	B	1028	662.4	1026	617.94
5057	B	803	619.15	801	581.05
5062	B	828	566.99	826	523.9
5015	B	832	582.87	830	543.4
5022	B	810	622.93	808	583.47
5027	B	898	622.18	896	578.63
5032	B	841	625.2	839	585.74
5034	B	855	591.18	853	552.63
5039	B	946	699.29	944	665.72
5044	B	954	672.07	952	625.81
5048	B	862	529.19	860	473.4
5050	B	847	600.25	845	553.53
5052	B	1038	653.17	1036	608.72
5057	B	813	616.89	811	578.78
5062	B	838	565.86	836	522.76
4926	C	2	43.09	0	0
4955	C	2	37.65	0	0
4970	C	2	44.91	0	0
5013	C	2	34.02	0	0
5019	C	2	50.8	0	0
5025	C	2	40.82	0	0
5028	C	2	34.02	0	0
5035	C	2	41.28	0	0
5038	C	2	37.19	0	0
5042	C	2	41.28	0	0
5047	C	2	43.09	0	0
5051	C	2	45.36	0	0
5054	C	2	36.29	0	0
5055	C	2	57.15	0	0
5059	C	2	35.83	0	0
4926	C	17	66.68	15	23.59
4955	C	12	49.9	10	12.25
4970	C	11	61.23	9	16.33
5013	C	17	50.8	15	16.78
5019	C	11	58.51	9	7.71
5025	C	11	52.16	9	11.34
5028	C	14	53.07	12	19.05
5035	C	12	48.99	10	7.71
5038	C	11	48.53	9	11.34
5042	C	12	53.52	10	12.25
5047	C	11	58.06	9	14.97
5051	C	11	55.79	9	10.43
5054	C	12	57.15	10	20.87
5055	C	14	68.04	12	10.89
5059	C	11	49.9	9	14.06
4926	C	27	72.57	25	29.48
4955	C	25	55.34	23	17.69
4970	C	25	78.02	23	33.11
5013	C	28	61.23	26	27.22
5019	C	25	69.85	23	19.05
5025	C	25	66.22	23	25.4
5028	C	28	61.23	26	27.22
5035	C	25	58.97	23	17.69
