"ETOH"	"Lactate"
"Otu00359"	-0.369274472937998	0.358568582800318
"Otu00360"	NA	NA
"Otu00361"	NA	NA
"Otu00362"	NA	NA
"Otu00363"	-0.369274472937998	-0.418330013267038
"Otu00365"	NA	NA
"Otu00366"	-0.123091490979333	0
"Otu00367"	NA	NA
"Otu00368"	NA	NA
"Otu00369"	-0.369274472937998	-0.418330013267038
"Otu00370"	NA	NA
"Otu00371"	NA	NA
"Otu00372"	NA	NA
"Otu00373"	NA	NA
"Otu00374"	NA	NA
"Otu00376"	NA	NA
"Otu00377"	NA	NA
"Otu00378"	NA	NA
"Otu00379"	NA	NA
"Otu00381"	NA	NA
"Otu00383"	NA	NA
"Otu00384"	NA	NA
"Otu00385"	-0.369274472937998	-0.418330013267038
"Otu00386"	NA	NA
"Otu00387"	NA	NA
"Otu00388"	NA	NA
"Otu00389"	NA	NA
"Otu00391"	-0.369274472937998	-0.418330013267038
"Otu00392"	NA	NA
"Otu00393"	0.246182981958665	0.119522860933439
"Otu00394"	NA	NA
"Otu00395"	NA	NA
"Otu00396"	NA	NA
"Otu00398"	NA	NA
"Otu00399"	-0.369274472937998	-0.418330013267038
"Otu00401"	NA	NA
"Otu00402"	NA	NA
"Otu00404"	NA	NA
"Otu00405"	NA	NA
"Otu00406"	NA	NA
"Otu00407"	NA	NA
"Otu00408"	NA	NA
"Otu00409"	NA	NA
"Otu00410"	NA	NA
"Otu00412"	NA	NA
"Otu00413"	NA	NA
"Otu00414"	NA	NA
"Otu00417"	-0.314626602482846	0.218217890235992
"Otu00418"	NA	NA
"Otu00420"	NA	NA
"Otu00422"	NA	NA
"Otu00423"	-0.369274472937998	-0.418330013267038
"Otu00424"	NA	NA
"Otu00425"	NA	NA
"Otu00426"	NA	NA
"Otu00427"	NA	NA
"Otu00428"	NA	NA
"Otu00431"	NA	NA
"Otu00432"	NA	NA
"Otu00433"	NA	NA
"Otu00436"	NA	NA
"Otu00438"	NA	NA
"Otu00439"	NA	NA
"Otu00441"	NA	NA
"Otu00443"	NA	NA
"Otu00444"	NA	NA
"Otu00445"	NA	NA
"Otu00446"	NA	NA
"Otu00447"	NA	NA
"Otu00448"	NA	NA
"Otu00449"	NA	NA
"Otu00450"	NA	NA
"Otu00451"	-0.123091490979333	0
"Otu00452"	NA	NA
"Otu00453"	NA	NA
"Otu00454"	-0.369274472937998	-0.418330013267038
"Otu00455"	NA	NA
"Otu00456"	NA	NA
"Otu00457"	NA	NA
"Otu00458"	NA	NA
"Otu00459"	NA	NA
"Otu00460"	NA	NA
"Otu00461"	NA	NA
"Otu00462"	NA	NA
"Otu00463"	NA	NA
"Otu00464"	NA	NA
"Otu00466"	NA	NA
"Otu00467"	NA	NA
"Otu00468"	NA	NA
"Otu00469"	NA	NA
"Otu00470"	NA	NA
"Otu00471"	NA	NA
"Otu00472"	NA	NA
"Otu00473"	NA	NA
"Otu00474"	NA	NA
"Otu00476"	NA	NA
"Otu00479"	NA	NA
"Otu00480"	NA	NA
"Otu00482"	NA	NA
"Otu00484"	NA	NA
"Otu00485"	NA	NA
"Otu00486"	NA	NA
"Otu00488"	NA	NA
"Otu00489"	NA	NA
"Otu00490"	NA	NA
"Otu00491"	-0.369274472937998	-0.418330013267038
"Otu00492"	NA	NA
"Otu00493"	NA	NA
"Otu00494"	NA	NA
"Otu00496"	NA	NA
"Otu00497"	NA	NA
"Otu00498"	NA	NA
"Otu00499"	NA	NA
"Otu00500"	NA	NA
"Otu00503"	NA	NA
"Otu00504"	NA	NA
"Otu00505"	-0.369274472937998	0.358568582800318
"Otu00506"	NA	NA
"Otu00507"	NA	NA
"Otu00508"	NA	NA
"Otu00509"	NA	NA
"Otu00510"	0.123091490979333	0.239045721866879
"Otu00511"	NA	NA
"Otu00512"	NA	NA
"Otu00513"	NA	NA
"Otu00515"	NA	NA
"Otu00516"	NA	NA
"Otu00517"	-0.369274472937998	0.358568582800318
"Otu00518"	NA	NA
"Otu00519"	NA	NA
"Otu00522"	NA	NA
"Otu00523"	NA	NA
"Otu00524"	NA	NA
"Otu00526"	NA	NA
"Otu00527"	NA	NA
"Otu00528"	NA	NA
"Otu00529"	NA	NA
"Otu00530"	NA	NA
"Otu00531"	NA	NA
"Otu00532"	NA	NA
"Otu00533"	NA	NA
"Otu00534"	NA	NA
"Otu00536"	NA	NA
"Otu00537"	NA	NA
"Otu00538"	NA	NA
"Otu00539"	NA	NA
"Otu00540"	NA	NA
"Otu00541"	NA	NA
"Otu00542"	NA	NA
"Otu00543"	NA	NA
"Otu00546"	NA	NA
"Otu00547"	NA	NA
"Otu00548"	NA	NA
"Otu00550"	NA	NA
"Otu00551"	NA	NA
"Otu00552"	NA	NA
"Otu00553"	NA	NA
"Otu00555"	NA	NA
"Otu00556"	NA	NA
"Otu00557"	NA	NA
"Otu00558"	NA	NA
"Otu00559"	NA	NA
"Otu00563"	NA	NA
"Otu00565"	NA	NA
"Otu00566"	NA	NA
"Otu00567"	NA	NA
"Otu00570"	NA	NA
"Otu00571"	NA	NA
"Otu00572"	NA	NA
"Otu00573"	NA	NA
"Otu00574"	NA	NA
"Otu00576"	NA	NA
"Otu00577"	NA	NA
"Otu00578"	NA	NA
"Otu00579"	NA	NA
"Otu00580"	NA	NA
"Otu00581"	NA	NA
"Otu00582"	NA	NA
"Otu00583"	NA	NA
"Otu00584"	NA	NA
"Otu00585"	NA	NA
"Otu00587"	NA	NA
"Otu00588"	NA	NA
"Otu00590"	NA	NA
"Otu00591"	-0.369274472937998	-0.418330013267038
"Otu00594"	NA	NA
"Otu00595"	NA	NA
"Otu00596"	NA	NA
"Otu00597"	NA	NA
"Otu00598"	NA	NA
"Otu00599"	NA	NA
"Otu00601"	NA	NA
"Otu00603"	NA	NA
"Otu00604"	NA	NA
"Otu00605"	0.123091490979333	0.239045721866879
"Otu00606"	NA	NA
"Otu00607"	NA	NA
"Otu00608"	NA	NA
"Otu00609"	NA	NA
"Otu00611"	NA	NA
"Otu00612"	NA	NA
"Otu00613"	NA	NA
"Otu00615"	NA	NA
"Otu00616"	NA	NA
"Otu00618"	NA	NA
"Otu00621"	NA	NA
"Otu00622"	NA	NA
"Otu00623"	NA	NA
"Otu00624"	NA	NA
"Otu00625"	NA	NA
"Otu00626"	NA	NA
"Otu00627"	NA	NA
"Otu00628"	NA	NA
"Otu00629"	NA	NA
"Otu00631"	NA	NA
"Otu00632"	NA	NA
"Otu00633"	NA	NA
"Otu00635"	NA	NA
"Otu00637"	NA	NA
"Otu00638"	NA	NA
"Otu00639"	NA	NA
"Otu00640"	NA	NA
"Otu00641"	NA	NA
"Otu00642"	NA	NA
"Otu00643"	0.123091490979333	0.239045721866879
"Otu00644"	NA	NA
"Otu00645"	NA	NA
"Otu00646"	NA	NA
"Otu00647"	NA	NA
"Otu00648"	NA	NA
"Otu00649"	NA	NA
"Otu00650"	NA	NA
"Otu00651"	NA	NA
"Otu00653"	NA	NA
"Otu00654"	NA	NA
"Otu00655"	NA	NA
"Otu00659"	NA	NA
"Otu00660"	NA	NA
"Otu00661"	-0.369274472937998	-0.418330013267038
"Otu00662"	NA	NA
"Otu00663"	NA	NA
"Otu00664"	NA	NA
"Otu00665"	NA	NA
"Otu00667"	NA	NA
"Otu00668"	NA	NA
"Otu00669"	NA	NA
"Otu00670"	NA	NA
"Otu00671"	NA	NA
"Otu00673"	NA	NA
"Otu00674"	NA	NA
"Otu00676"	NA	NA
"Otu00677"	NA	NA
"Otu00678"	NA	NA
"Otu00681"	NA	NA
"Otu00683"	NA	NA
"Otu00685"	NA	NA
"Otu00688"	NA	NA
"Otu00689"	NA	NA
"Otu00692"	NA	NA
