"Succinate"	"Lactate"	"Formate"	"Acetate"	"Propionate"	"Isobutyrate"	"ETOH"	"Butyrate"	"iVal.2MB"	"Valerate"	"Caproate"	"VFA_total_mM"	"branch_mM"	"Acetate_mF"	"Propionate_mF"	"Butyrate_mF"	"Valerate_mF"	"branch_mF"
"Otu00011"	-0.260086035211296	-0.382718930006306	-0.224101980749548	0.450461128435833	0.308467946646277	0.435772178595534	-0.304440426678631	0.318260579873143	0.52880219425076	0.0734447492014945	-0.382718930006306	0.0195852664537319	0.18116371469702	0.151785815016422	-0.122407915335824	-0.122407915335824	-0.0538594827477626	0.127304231949257
"Otu00012"	-0.133258399516971	-0.299925939395438	0.166775279690033	0.160934849861756	0.0321869699723512	0.185075077341019	-0.239739464554423	0.0925375386705096	0.354056669695863	-0.193121819834107	-0.436785348634133	0.0804674249308779	0.285659358504617	0.076444053684334	-0.100584281163597	0.0683973111912462	-0.261519131025353	0.277612616011529
"Otu00013"	-0.121804140176183	0.0152503003623892	0.627785281936472	-0.41352461656183	-0.492542059216957	-0.144865311534399	-0.113729217742114	-0.392453298520463	-0.150133141044741	-0.150133141044741	-0.213504205073449	0.0184374032861962	0.255489731251576	-0.0553122098585887	0.00790174426551267	0.102722675451665	-0.150133141044741	0.350310662437729
"Otu00014"	-0.374602972998887	-0.129390790228637	0.122603212407703	-0.383849176400578	-0.504787958006239	-0.278685018482611	-0.272451583128229	-0.499529750110341	-0.331267097441594	-0.378590968504679	-0.182669350911017	-0.136713405293356	0	0.331267097441594	-0.357558136921086	-0.152488028981051	-0.15774623687695	0.115680573709763
"Otu00015"	-0.25302130632381	-0.0989458984101343	0.672047238382965	-0.289201434274408	-0.394365592192374	-0.152488028981051	-0.140766651282918	-0.336525305337493	-0.173520860564645	-0.178779068460543	-0.235947911593397	0.0105164157917967	0.215586523731831	0.0683567026466782	-0.120938781605661	0.0630984947507799	-0.294459642170306	0.326008889545696
"Otu00016"	-0.298613833486445	-0.153704111387796	0.489066430577546	-0.201311668589053	-0.311922475506116	-0.117247455332086	-0.15665409104437	-0.188038371759006	-0.112823023055404	-0.219009397695783	-0.272184363915889	0.0154855129683887	0.219009397695783	0.117247455332086	-0.170340642652276	0.0420321066284837	-0.360591230549623	0.280951449569338
"Otu00017"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu00018"	-0.329804971427902	-0.0840306955609194	0.00455752348019358	-0.263875206825468	-0.395812810238202	-0.0949950744571685	-0.273451408811615	-0.33248276060009	-0.105550082730187	-0.364147785419146	-0.343761936385579	-0.0263875206825468	0.116105091003206	0.195267653050846	-0.100272578593678	-0.263875206825468	-0.216377669596884	0.100272578593678
"Otu00019"	-0.0643584635795443	-0.273297197249974	-0.304923282535863	0.419299044014756	0.380066384925656	0.316313313905869	-0.118581276541724	0.360450055381106	0.443819455945444	0.0613010298267187	-0.273297197249974	0.120150018460369	0.159382677549469	-0.00735612357920625	0.0318765355098937	0.0711091945989937	-0.0907255241435437	0.0613010298267187
"Otu00020"	-0.282595225244775	-0.0456673377277543	0.349646198347894	-0.341783513233391	-0.425914839567764	-0.268168602690815	-0.149848370720526	-0.404882007984171	-0.278685018482611	-0.326008889545696	-0.243559134548023	-0.0788731184384749	0.0788731184384749	0.136713405293356	-0.147229821085153	-0.0893895342302715	-0.205070107940035	0.247135771107221
"Otu00021"	-0.259084088231648	-0.0714413299481746	0.400646198110574	-0.303534426716773	-0.461471038992167	-0.190017486643833	-0.204585292652208	-0.397309290255288	-0.2443081971135	-0.402244809388894	-0.303625652279742	0.0172743169676212	0.165339890975803	0.130791257040561	-0.170275410109409	-0.0468874317692576	-0.293663388449561	0.278856831048743
"Otu00022"	-0.213545259627251	0.00727392967453308	0.347170429282197	-0.412065504256277	-0.52261966393479	-0.0653274579918488	-0.177924845007126	-0.452267016866645	-0.14070529413629	-0.311561722730356	-0.28368325730679	-0.201007563051842	-0.0100503781525921	0.276385399196283	-0.251259453814803	-0.216083130280731	-0.14070529413629	0.231158697509619
"Otu00023"	-0.394916985188273	-0.126426378671729	-0.0798628719032075	-0.269731327274986	-0.387899337319265	-0.0488085258878546	-0.292830530311761	-0.331384202080697	-0.0539462654549972	-0.341659681214982	-0.368123867308857	-0.19780297333499	-0.0231198280521416	0.35707289991641	-0.280006806409271	-0.418725774722121	-0.177252015066419	0.0847727028578527
"Otu00024"	-0.306595807269684	-0.1251228754283	0.342979020033493	-0.539672491141178	-0.689192142366439	-0.254650655993023	-0.246137884965213	-0.623777294955387	-0.310720525202496	-0.380807861714337	-0.192756862146299	-0.207925764985129	0.03971615735671	0.259323145093813	-0.296703057900128	-0.105131004767762	-0.151855895775656	0.268668123295391
"Otu00025"	0.0225610946186697	-0.0130643633611603	-0.140295712063487	-0.112818825223725	0.0406147770805412	-0.130869837259522	0.155884124514985	0.0225637650447451	-0.0676912951342353	-0.103793319205827	-0.0130643633611603	-0.0315892710626431	-0.157946355313216	0.0496402830984392	-0.0135382590268471	-0.0496402830984392	0.00451275300894902	-0.212099391420604
