"ETOH"	"Lactate"
"Otu000209"	0.492365963917331	-0.239045721866879
"Otu000210"	-0.323254091917618	-0.439435374402041
"Otu000211"	NA	NA
"Otu000212"	NA	NA
"Otu000213"	NA	NA
"Otu000214"	NA	NA
"Otu000215"	NA	NA
"Otu000216"	NA	NA
"Otu000217"	0.127128345232746	0.617213399848368
"Otu000218"	NA	NA
"Otu000219"	NA	NA
"Otu000220"	NA	NA
"Otu000221"	0.3530939318019	0.514285714285714
"Otu000222"	0.0348155311911396	-0.338061701891407
"Otu000223"	NA	NA
"Otu000224"	NA	NA
"Otu000225"	NA	NA
"Otu000226"	NA	NA
"Otu000227"	NA	NA
"Otu000228"	-0.123091490979333	0
"Otu000229"	NA	NA
"Otu000230"	NA	NA
"Otu000231"	NA	NA
"Otu000232"	NA	NA
"Otu000233"	NA	NA
"Otu000234"	NA	NA
"Otu000235"	-0.512091556499189	-0.0331496772065898
"Otu000236"	NA	NA
"Otu000237"	NA	NA
"Otu000238"	NA	NA
"Otu000239"	NA	NA
"Otu000240"	0.246182981958665	0.119522860933439
"Otu000241"	NA	NA
"Otu000242"	NA	NA
"Otu000243"	NA	NA
"Otu000244"	NA	NA
"Otu000245"	0.314626602482846	-0.218217890235992
"Otu000246"	NA	NA
"Otu000247"	NA	NA
"Otu000248"	NA	NA
"Otu000249"	0.381385035698237	0.432049379893857
"Otu000250"	-0.369274472937998	-0.418330013267038
"Otu000251"	NA	NA
"Otu000252"	0.0379868588198793	0.184427778390829
"Otu000253"	NA	NA
"Otu000254"	NA	NA
"Otu000255"	NA	NA
"Otu000256"	NA	NA
"Otu000257"	NA	NA
"Otu000258"	NA	NA
"Otu000259"	-0.301511344577764	-0.130120009726471
"Otu000260"	NA	NA
"Otu000261"	NA	NA
"Otu000262"	0.492365963917331	-0.239045721866879
"Otu000263"	0.265908011739155	0.110656667034498
"Otu000264"	NA	NA
"Otu000265"	NA	NA
"Otu000266"	NA	NA
"Otu000267"	NA	NA
"Otu000268"	NA	NA
"Otu000269"	NA	NA
"Otu000270"	NA	NA
"Otu000271"	NA	NA
"Otu000272"	NA	NA
"Otu000273"	NA	NA
"Otu000274"	NA	NA
"Otu000275"	0.319142369252113	0.0845154254728517
"Otu000276"	NA	NA
"Otu000277"	0.323669437485075	0.485714285714286
"Otu000278"	NA	NA
"Otu000279"	NA	NA
"Otu000280"	NA	NA
"Otu000281"	-0.284267621807481	-0.44854261357253
"Otu000282"	NA	NA
"Otu000283"	NA	NA
"Otu000284"	NA	NA
"Otu000285"	NA	NA
"Otu000286"	NA	NA
"Otu000287"	NA	NA
"Otu000288"	NA	NA
"Otu000289"	NA	NA
"Otu000290"	0.0606060606060606	0.2353959545346
"Otu000291"	NA	NA
"Otu000292"	NA	NA
"Otu000293"	NA	NA
"Otu000294"	-0.428174419288838	0.0377964473009227
"Otu000295"	NA	NA
"Otu000296"	NA	NA
"Otu000297"	NA	NA
"Otu000298"	NA	NA
"Otu000299"	NA	NA
"Otu000300"	NA	NA
"Otu000301"	NA	NA
"Otu000302"	-0.369274472937998	-0.418330013267038
"Otu000303"	NA	NA
"Otu000304"	NA	NA
"Otu000305"	NA	NA
"Otu000306"	NA	NA
"Otu000307"	-0.0696310623822791	-0.405674042269688
"Otu000308"	NA	NA
"Otu000309"	NA	NA
"Otu000310"	NA	NA
"Otu000311"	NA	NA
"Otu000312"	NA	NA
"Otu000313"	NA	NA
"Otu000314"	NA	NA
"Otu000315"	NA	NA
"Otu000316"	NA	NA
"Otu000317"	-0.369274472937998	-0.418330013267038
"Otu000318"	-0.123091490979333	0
"Otu000319"	0.0449466574975495	-0.523722936566382
"Otu000320"	NA	NA
"Otu000321"	NA	NA
"Otu000322"	0.0969762275752854	0.0941647230861517
"Otu000323"	0.492365963917331	-0.239045721866879
"Otu000324"	NA	NA
"Otu000325"	NA	NA
"Otu000326"	NA	NA
"Otu000327"	NA	NA
"Otu000328"	-0.189934294099397	0.405741112459825
"Otu000329"	NA	NA
"Otu000330"	NA	NA
"Otu000331"	0.113960576459638	0.110656667034498
"Otu000332"	-0.404519917477945	-0.349148624377588
"Otu000333"	NA	NA
"Otu000334"	NA	NA
"Otu000335"	NA	NA
"Otu000336"	NA	NA
"Otu000337"	0.500216403386025	0.0857142857142857
"Otu000338"	0.0449466574975495	-0.523722936566382
"Otu000339"	NA	NA
"Otu000340"	NA	NA
"Otu000341"	NA	NA
"Otu000342"	0.5884898863365	0.342857142857143
"Otu000343"	NA	NA
"Otu000344"	NA	NA
"Otu000345"	NA	NA
"Otu000346"	-0.369274472937998	0.358568582800318
"Otu000347"	NA	NA
"Otu000348"	NA	NA
"Otu000349"	NA	NA
"Otu000350"	NA	NA
"Otu000351"	NA	NA
"Otu000352"	NA	NA
"Otu000353"	0.404519917477945	0.0436435780471985
"Otu000354"	0.52964089770285	0.342857142857143
"Otu000355"	NA	NA
"Otu000356"	NA	NA
"Otu000357"	NA	NA
"Otu000358"	NA	NA
"Otu000359"	NA	NA
"Otu000360"	NA	NA
"Otu000361"	NA	NA
"Otu000362"	-0.0778498944161523	-0.113389341902768
"Otu000363"	NA	NA
"Otu000364"	-0.369274472937998	0.358568582800318
"Otu000365"	NA	NA
"Otu000366"	NA	NA
"Otu000367"	-0.123091490979333	0
"Otu000368"	NA	NA
"Otu000369"	NA	NA
"Otu000370"	NA	NA
"Otu000371"	NA	NA
"Otu000372"	NA	NA
"Otu000373"	-0.113960576459638	-0.44262666813799
"Otu000374"	NA	NA
"Otu000375"	-0.123091490979333	0
"Otu000376"	NA	NA
"Otu000377"	NA	NA
"Otu000378"	NA	NA
"Otu000379"	NA	NA
"Otu000380"	NA	NA
"Otu000381"	NA	NA
"Otu000382"	NA	NA
"Otu000383"	-0.539359889970594	-0.611010092660779
"Otu000384"	NA	NA
"Otu000385"	-0.369274472937998	-0.418330013267038
"Otu000386"	NA	NA
"Otu000387"	NA	NA
"Otu000388"	NA	NA
"Otu000389"	NA	NA
"Otu000390"	-0.314626602482846	-0.436435780471985
"Otu000391"	NA	NA
"Otu000392"	-0.0379868588198793	-0.368855556781659
"Otu000393"	-0.382970843102535	-0.270449361513125
"Otu000394"	NA	NA
"Otu000395"	NA	NA
"Otu000396"	NA	NA
"Otu000397"	NA	NA
"Otu000398"	0.341881729378914	0.479512223816156
"Otu000399"	NA	NA
"Otu000400"	NA	NA
"Otu000401"	NA	NA
"Otu000402"	NA	NA
"Otu000403"	0.123091490979333	0.239045721866879
"Otu000404"	NA	NA
"Otu000405"	NA	NA
"Otu000406"	NA	NA
"Otu000407"	NA	NA
"Otu000408"	-0.123091490979333	0
"Otu000409"	NA	NA
"Otu000410"	NA	NA
"Otu000411"	NA	NA
"Otu000412"	NA	NA
"Otu000413"	NA	NA
"Otu000414"	NA	NA
